CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,BBL
50107047,KING BARKA,Manhattan,2733,FREDERICK DOUGLASS BOULEVARD,,3476418572,Caribbean,2023-06-06,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2025-10-17,Administrative Miscellaneous / Initial Inspection,0.0,0.0,1.0
40837042,MALECON RESTAURANT,Bronx,55925594,BROADWAY,,7184325155,Latin American,2022-12-12,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,23.0,B,2022-12-12,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,2.0
41395372,CITI FIELD IN SEAT SERVICE,Queens,0,126TH ST &ROOSEVELT AVENUE,,7185958100,American,2025-09-13,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,2025-09-13,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,4.0
50152777,ORION BAR,Brooklyn,159 B,CENTRAL AVE,,8183378510,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,3.0
50049514,BRASS RIZ & GRILL EXPRESS,Queens,227-02/08,LINDEN BLVD,,9175570106,Creole,2022-01-31,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,24.0,B,2022-01-31,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,4.0
50175363,VILLAS RUSSO,Queens,4A,CENTRAL TERMINAL AREA,,2015282436,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,4.0
50177711,CHEESE MY BRICK,0,,,,7543131662,,,,,,Not Applicable,,,,2025-10-17,,,,
41503108,TULCINGO RESTAURANT,Queens,40364040,NATIONAL STREET,,7186398880,Mexican,2024-04-15,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,40.0,C,2024-04-15,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,4.0
50034739,ELLINGTON IN THE PARK,Manhattan,W105,HUDSON BEACH,,9176805280,American,2023-10-05,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,75.0,N,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41395428,CITI FIELD BIG APPLE BREWS,Queens,0,126 TH  & ROOSEVELT AVENUE,,7185958100,Bottled Beverages,2024-09-20,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,2024-09-20,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,4.0
50164043,JACOBS PICKLES,Queens,JFK,International Airport Terminal 5,11431,7037237264,,,,,,Not Applicable,,,,2025-10-17,,,,
50150870,JAMBA JUICE TCCD,Queens,,"TERMINAL C, CONCOURSE D",11371,2159970667,,,,,,Not Applicable,,,,2025-10-17,,,,
41656924,TENZAN,Manhattan,988990,2 AVENUE,,2129805900,Japanese,2023-11-21,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2025-10-17,Administrative Miscellaneous / Re-inspection,0.0,0.0,1.0
50175362,BROOKLYN TEA & MARKET,Queens,4A,CENTRAL TERMINAL AREA,,2015282436,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,4.0
50150867,THE GRILLE,Queens,,"TERMINALS C, CONCOURSE D",11371,2159970667,,,,,,Not Applicable,,,,2025-10-17,,,,
50155764,ENOTECA,Manhattan,2220,FREDERICK DOUGLASS BOULEVARD,,3322658442,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50143389,CHAMPION PIZZA REGO PARK INC.,Queens,2034,GREEN ACRES MALL,,9176895663,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,4.0
50175163,NEW ONE FABENE PIZZA & PASTA.,Manhattan,2309,ADAM CLAYTON POWELL JR BOULEVARD,,646677238,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50149612,ALL DAY FOOD LLC,Brooklyn,,LORIMER STREET,11211,4153176266,,,,,,Not Applicable,,,,2025-10-17,,,,
50123437,FRESH STOP JUICE BAR INC,0,274,ATLANTIC AVE,11518,9176809065,,,,,,Not Applicable,,,,2025-10-17,,,,
50125730,Blue Diamond Coffee Shop,Bronx,249B,W 231ST ST,,3472029438,American,2022-08-23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,13.0,A,2022-08-23,2025-10-17,Pre-permit (Operational) / Initial Inspection,0.0,0.0,2.0
50142158,THE ATRIUM AT LAGUARDIA - POUR AUTHORITY,Queens,1,CENTRAL TERMINAL,,9723556751,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,4.0
50105933,DUNKIN',Bronx,4399A,WHITE PLAINS RD,,9292074427,Donuts,2025-10-09,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,9.0,A,2025-10-09,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,2.0
50177828,KITCHEN NEW DORP INC.,Staten Island,324A,NEW DORP LN,,7187903222,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,5042210042.0
50136159,CONEY ISLAND SHACK TACOS LLC,Manhattan,NKA,HIGH SPACE PARK 15ST BY W/S HWY,10004,3478568356,,,,,,Not Applicable,,,,2025-10-17,,,,
50150815,STARBUCKS PICKUP (DEPARTURE LEVEL),Queens,,TERMINAL C CONCOURSE,11371,2159970667,,,,,,Not Applicable,,,,2025-10-17,,,,
40659101,LUCKY HOUSE CHINESE KITCHEN,Brooklyn,343345,LEWIS AVENUE,,7184432298,Chinese,2023-08-03,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,25.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,3.0
50171594,GOLDEN KRUST,Queens,JFK,TERMINAL 8,11430,7186903530,,,,,,Not Applicable,,,,2025-10-17,,,,
50034742,BLUJEEN,Manhattan,2143,FREDERICK DOUGLASS BOULEVARD,,2122561073,American,2020-02-05,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,29.0,C,2020-02-05,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41380885,MAMA TINA'S PIZZA,Manhattan,2649,FRDERICK DOUGLASS BOULEVARD,,2123682820,Pizza,2025-09-26,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50032708,STARBUCKS,Queens,JFK,INTL AIRPORT,11430,7186790452,Coffee/Tea,2024-08-28,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,2024-08-28,2025-10-17,Cycle Inspection / Initial Inspection,,,
50126972,MASALA CORP,Manhattan,1802,65TH ST,,9174003090,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50135791,SSP AMERICA INC,Queens,,TERM 4,11430,7037237264,,,,,,Not Applicable,,,,2025-10-17,,,,
50098716,EATALY NY LLC (KIOSK),Manhattan,999,BROADWAY,,3124685154,Pizza,2024-06-14,Establishment re-opened by DOHMH.,,,Not Applicable,0.0,P,2024-06-14,2025-10-17,Cycle Inspection / Reopening Inspection,0.0,0.0,1.0
50168965,Dadi's Kababs,0,124,HAMLET RD,11756,9146027098,,,,,,Not Applicable,,,,2025-10-17,,,,
50175063,SAVORY DELI LLC,Brooklyn,30,HUDSON YARDS,,2127576100,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,3.0
50167226,COPPERLEAF BAKERY,Manhattan,2118,FREDERICK DOUGLASS BOULEVARD,,6462099177,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50177721,HARLEM BLENDS LLC,Manhattan,2360,FREDERICK DOUGLASS BOULEVARD,,9293348893,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50175209,SIBERIA,Manhattan,,1000 S. 8TH AVE,10019,9173498922,,,,,,Not Applicable,,,,2025-10-17,,,,
50176570,TERIYAKI BOWL,0,,,,3477255980,,,,,,Not Applicable,,,,2025-10-17,,,,
50127295,JIXIANG 99 LLC,0,247,HEMPSTEAD TPKE,11003,6312649122,,,,,,Not Applicable,,,,2025-10-17,,,,
50161021,APRUTIUM INC,Manhattan,1802,65TH STREET TRANSVERSE,,5166334965,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50153385,DOS TOROS,Queens,LAGUARDIA,AIRPORT,11369,5163989952,,,,,,Not Applicable,,,,2025-10-17,,,,
50170531,FIVE IRON GOLF,Manhattan,1290,AVE AMERICAS,,6094392777,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50176956,EATALY WINE BAR T8,Queens,SPACE C4,JFK INT'L AIRPORT TERMINAL 8,11430,2015282436,,,,,,Not Applicable,,,,2025-10-17,,,,
40741728,WALLSE,Manhattan,342344,WEST 11 STREET,,2123522300,German,2023-05-02,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,18.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
40536414,LA CABANA,Brooklyn,106264,FLATBUSH AVENUE,,7182870248,Latin American,2023-11-14,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,69.0,C,2023-11-14,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,3.0
41131002,TANGRA,Queens,3923,39TH PLACE,,7187868181,Asian/Asian Fusion,2023-01-04,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13.0,A,2023-01-04,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,4.0
41683279,INTREPID SEA-AIR-SPACE MUSEUM,Manhattan,1,INTREPID SQ,,6463815322,American,2019-09-23,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,2019-09-23,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50088988,CITY ONE,Manhattan,2726,FREDERICK DOUGLASS BOULEVARD,,2123688818,Chinese,2023-08-31,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,15.0,B,2023-08-31,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,1.0
50128762,DELICIAS EXPRESS II LLC,0,33,NORTH DR,11021,5166036827,,,,,,Not Applicable,,,,2025-10-17,,,,
40536414,LA CABANA,Brooklyn,106264,FLATBUSH AVENUE,,7182870248,Latin American,2023-11-29,Violations were cited in the following area(s).,03I,"Juice packaged on premises with no or incomplete label, no warning statement",Critical,21.0,,,2025-10-17,Cycle Inspection / Compliance Inspection,0.0,0.0,3.0
50162243,PALENQUE HOME MADE COLOMBIAN FOOD INC.,Manhattan,1802,65TH STREET TRANVERSE,,7189541955,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
41395501,PAT LAFRIEDA'S BURGERS & FRIES,Queens,0,126TH ST &ROOSEVELT AVENUE,,7185958100,Hamburgers,2024-09-20,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,2024-09-20,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,4.0
50089893,BLVD BISTRO,Manhattan,2149,FREDERICK DOUGLASS BOULEVARD,,2126786200,Soul Food,2022-07-07,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,13.0,A,2022-07-07,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41503108,TULCINGO RESTAURANT,Queens,40364040,NATIONAL STREET,,7186398880,Mexican,2023-09-26,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,26.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,4.0
50174150,TIMBUKTU MARKET LLC,Manhattan,2542,ADAM CLAYTON POWELL JR BOULEVARD,,9145136163,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50149750,JUICE NURSE,Manhattan,2855,FREDERICK DOUGLASS BOULEVARD,,9179747113,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50159852,DAILY GROCERY,Bronx,1201,LELAND AVE,,9174716834,Other,2025-10-09,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27.0,,,2025-10-17,Pre-permit (Operational) / Compliance Inspection,0.0,0.0,2.0
50107047,KING BARKA,Manhattan,2733,FREDERICK DOUGLASS BOULEVARD,,3476418572,Caribbean,2024-07-02,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,50.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50172339,MAMA'S TOO,Manhattan,,BROADWAY,10025,9175605693,,,,,,Not Applicable,,,,2025-10-17,,,,
41543970,PAUSE CAFE,Manhattan,3,CLINTON SREET,,2126775415,Middle Eastern,2023-05-25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,15.0,B,2023-05-25,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,1.0
50148215,MAMMIMO GELATO,Queens,2034,GREEN ACRES MALL,,9175891097,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,4.0
50046316,"SEAN'S BAR & KITCHEN, REILLEY'S PLATES & POURS",Manhattan,3842,W 48TH ST,,2127649090,American,2025-09-25,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,21.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50160847,JKCSNY INC,Manhattan,1802,65TH ST TRANSVERSE,,9173253374,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50160435,TAQUERIA ALLENDE,Manhattan,2100,FREDERICK DOUGLASS BOULEVARD,,9172800678,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50162613,"TREAT YOURSELF JERK, LLC",Manhattan,1802,65TH ST TRANSVERSE,,6469964209,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
41623317,PRONTO PIZZA,Staten Island,2935,VETERANS ROAD,,7183562500,Pizza,2022-10-20,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,28.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,5.0
50176837,OASIS CAFE,0,,,,3473934433,,,,,,Not Applicable,,,,2025-10-17,,,,
50143076,CHASE AD JFK,Queens,,TERMINAL 4,11430,9173996937,Continental,2025-05-28,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,13.0,A,2025-05-28,2025-10-17,Cycle Inspection / Initial Inspection,,,
50047418,CHEZ MATY ET SOKHNA,Manhattan,2249,ADAM CLAYTON POWELL JR BOULEVARD,,2123685005,African,2024-10-24,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,41.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41248866,BARAKA BUFFET,Manhattan,2546,FREDERICK DOUGLASS BOULEVARD,,2124913502,African,2024-09-12,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,32.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50033699,ANGEL OF HARLEM,Manhattan,2272,FREDERICK DOUGLASS BOULEVARD,,2127252353,Caribbean,2022-11-09,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12.0,A,2022-11-09,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50099398,LECHONERA POLLO SABROSO DEL VALLE RESTAURANT,Bronx,650B,WESTCHESTER AVENUE,,3472977545,Spanish,2022-11-02,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,19.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,2026230194.0
50150804,SOLEIL BRASSERIE (CONNECTOR LEVEL),Queens,LAGUARDIA,AIRPORT,11371,2159970667,,,,,,Not Applicable,,,,2025-10-17,,,,
50153387,CHOPT,Queens,LAGUARDIA,AIRPORT,11369,5163989952,,,,,,Not Applicable,,,,2025-10-17,,,,
41656924,TENZAN,Manhattan,988990,2 AVENUE,,2129805900,Japanese,2025-09-29,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,31.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41543970,PAUSE CAFE,Manhattan,3,CLINTON SREET,,2126775415,Middle Eastern,2022-09-27,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12.0,A,2022-09-27,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,1.0
41584120,7 SPICES,Bronx,906908,E GUNHILL RD,,3473268646,Caribbean,2022-05-25,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,4.0,A,2022-05-25,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,2.0
50034739,ELLINGTON IN THE PARK,Manhattan,W105,HUDSON BEACH,,9176805280,American,2023-10-05,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,75.0,N,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50159917,SAN DIABLO LLC,Manhattan,1802,65TH ST TRANSVERSE,,8014320880,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
50150842,CEGM (CONNECTOR LEVEL),Queens,LAGUARDIA,AIRPORT,11371,2159970667,,,,,,Not Applicable,,,,2025-10-17,,,,
41086967,IL SOLE,Manhattan,229233,DYCKMAN STREET,,2125440406,Italian,2025-05-15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,31.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50151960,PAPATHAI,Manhattan,2115,FREDERICK DOUGLASS BOULEVARD,,6462756791,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,1.0
41623317,PRONTO PIZZA,Staten Island,2935,VETERANS ROAD,,7183562500,Pizza,2024-11-12,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,9.0,A,2024-11-12,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,5.0
50116556,WENDY'S,Queens,1,MAIN TERMINAL,,9173282791,,,,,,Not Applicable,,,,2025-10-17,,0.0,0.0,4.0
50045961,TAI LAI RESTAURANT,Brooklyn,990,T S BOYLAND ST,,7184987787,Chinese,2022-05-19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2022-05-19,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,3.0
50033660,RUSTY'S FLAVOR,Manhattan,2261,ADAM CLAYTON POWELL JR BOULEVARD,,2123683403,Caribbean,2023-02-07,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,12.0,A,2023-02-07,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
40723910,MUNCHINETTE,Brooklyn,1738,SHEEPSEAD BAY ROAD,,7183325463,American,2024-10-15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12.0,A,2024-10-15,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,3.0
50018572,NIKKO HIBACHI STEAKHOUSE & LOUNGE,Queens,177-15/21,UNION TPKE,,7188208818,Japanese,2023-04-10,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,27.0,B,2023-04-10,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,4.0
50075461,POPEYES,Manhattan,2300,ADAM CLAYTON POWELL JR BOULEVARD,,6463689765,Chicken,2023-09-07,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishmentâ€™s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,45.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41244032,ESTRELLITA POBLANA # 1,Bronx,22272231,WESTCHESTER AVENUE,,7185187425,Mexican,2025-01-07,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 Â°F; smoked or processed fish held above 38 Â°F; intact raw eggs held above 45 Â°F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12.0,A,2025-01-07,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,2.0
41560827,CIRCLE LINE BROOKLYN,Manhattan,0,WEST 42 STREET,,9172843261,American,2024-07-30,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,10.0,A,2024-07-30,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41276645,ECUATORIANA RESTAURANT,Manhattan,16851687,AMSTERDAM AVENUE,,2124914626,Spanish,2025-07-22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 Â°F; smoked or processed fish held above 38 Â°F; intact raw eggs held above 45 Â°F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,27.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
41543970,PAUSE CAFE,Manhattan,3,CLINTON SREET,,2126775415,Middle Eastern,2024-12-17,Violations were cited in the following area(s).,20-08,Failure to post or conspicuously post healthy eating information,Not Critical,,,,2025-10-17,Administrative Miscellaneous / Re-inspection,0.0,0.0,1.0
50088988,CITY ONE,Manhattan,2726,FREDERICK DOUGLASS BOULEVARD,,2123688818,Chinese,2024-10-29,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 Â°F; smoked or processed fish held above 38 Â°F; intact raw eggs held above 45 Â°F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,44.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
40958170,SOHO HOUSE,Manhattan,2935,9 AVENUE,,2126279800,American,2025-03-17,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,38.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50099398,LECHONERA POLLO SABROSO DEL VALLE RESTAURANT,Bronx,650B,WESTCHESTER AVENUE,,3472977545,Spanish,2024-12-16,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,37.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,2026230194.0
50137981,CENTRAL PARK BOATHOUSE CAFE,Manhattan,0,E 72ND ST,,2125172233,Continental,2025-09-12,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,32.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
50094252,Manchu Wok,Queens,,150TH AVE AND 147,11430,7189398688,Other,2024-10-17,Violations were cited in the following area(s).,10H,"Single service article not provided. Single service article reused or not protected from contamination when transported, stored, dispensed. Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",Not Critical,12.0,A,2024-10-17,2025-10-17,Cycle Inspection / Initial Inspection,,,
40741728,WALLSE,Manhattan,342344,WEST 11 STREET,,2123522300,German,2024-03-13,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 Â°F.,Critical,39.0,C,2024-03-13,2025-10-17,Cycle Inspection / Re-inspection,0.0,0.0,1.0
41244032,ESTRELLITA POBLANA # 1,Bronx,22272231,WESTCHESTER AVENUE,,7185187425,Mexican,2022-06-23,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,0.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,2.0
41656924,TENZAN,Manhattan,988990,2 AVENUE,,2129805900,Japanese,2023-03-13,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,18.0,,,2025-10-17,Cycle Inspection / Initial Inspection,0.0,0.0,1.0
