CAMIS,Name,MostRecentInspDate,GRADE,INSPECTION TYPE,SCORE
50003180,DUNKIN,2024-06-07,A,Cycle Inspection / Initial Inspection,7.0
40698807,MAMA MIA 44 SW,2024-05-02,B,Cycle Inspection / Re-inspection,21.0
41634218,TUE THAI FOOD,2025-07-30,Z,Cycle Inspection / Re-inspection,39.0
50046199,SZECHWAN ABSOLUTE,2024-05-07,B,Cycle Inspection / Re-inspection,27.0
50015110,NUTRIPAN #2,2025-05-20,A,Cycle Inspection / Initial Inspection,12.0
50129233,DELICIOUS SLICE OF BROOKLYN & DELI,2025-08-14,Z,Cycle Inspection / Re-inspection,37.0
50164812,SOL DELISH,2025-05-05,nan,Administrative Miscellaneous / Initial Inspection,
50160591,STAR CAFE AU LAIT,2025-07-02,Z,Pre-permit (Operational) / Re-inspection,40.0
50048350,TASTE OF THE CITY FRESH GRILL,2025-05-07,Z,Cycle Inspection / Re-inspection,68.0
50119160,QBK SPORTS,2024-11-08,A,Cycle Inspection / Initial Inspection,13.0
41572368,BAGEL SUPREME,2024-11-12,A,Cycle Inspection / Re-inspection,12.0
50151034,DONG WON SUSHI & TUNA,2024-08-14,A,Pre-permit (Operational) / Initial Inspection,13.0
50130769,COMPTON'S,2024-12-18,C,Cycle Inspection / Re-inspection,62.0
50114239,BELLA VITA NUTRITION,2024-07-12,A,Cycle Inspection / Initial Inspection,9.0
50138205,TOP TASTY BAGEL,2025-07-23,B,Cycle Inspection / Re-inspection,25.0
50100556,GRAB AND GO,2025-02-14,A,Cycle Inspection / Re-inspection,9.0
50063750,THE CORNER SPOT,2025-02-10,A,Cycle Inspection / Re-inspection,12.0
41568372,MICHAEL'S CAFE,2025-08-21,A,Cycle Inspection / Initial Inspection,13.0
41704670,AMICI PIZZERIA,2024-03-25,A,Cycle Inspection / Re-inspection,12.0
50071087,CARLOS AND GABBY'S,2024-12-04,A,Cycle Inspection / Re-inspection,4.0
50152635,UNIK PIZZA,2024-09-11,C,Pre-permit (Operational) / Re-inspection,31.0
41599164,DEL FRISCO'S GRILLE,2024-05-21,A,Cycle Inspection / Initial Inspection,13.0
41305781,ST JOHN'S UNIVERSITY MARILLAC HALL,2024-10-18,A,Cycle Inspection / Initial Inspection,12.0
50133771,ANTOJITOS ACATLAN,2025-08-04,Z,Cycle Inspection / Re-inspection,27.0
50157215,CUCINA ITALIAN TAVERN,2025-06-16,B,Pre-permit (Operational) / Re-inspection,25.0
50057588,ELLA KITCHEN AND BAR,2025-07-28,A,Cycle Inspection / Initial Inspection,11.0
50160663,COOK EATERY,2025-01-31,A,Pre-permit (Operational) / Re-inspection,13.0
50128980,AGENDA,2023-12-28,A,Pre-permit (Operational) / Initial Inspection,12.0
41721605,FRANKIES DOGS ON THE GO,2024-03-05,A,Cycle Inspection / Re-inspection,10.0
50124081,TASTE OF THE CITY LOUNGE,2024-02-23,B,Cycle Inspection / Re-inspection,26.0
50145159,LUZZO'S,2025-03-10,nan,Administrative Miscellaneous / Re-inspection,
50065354,CASA PUBLICA,2024-09-19,A,Cycle Inspection / Initial Inspection,12.0
41380672,DON BURRITO RESTAURANT,2024-10-09,A,Cycle Inspection / Initial Inspection,12.0
50101641,DUNKIN,2025-07-11,A,Cycle Inspection / Initial Inspection,11.0
50073019,MOON & FLOWER HOUSE,2025-08-18,A,Cycle Inspection / Initial Inspection,11.0
50162908,L & L HAWAIIN BARBECUE,2025-06-17,C,Pre-permit (Operational) / Re-inspection,47.0
50062458,NY BAKERY CAFE,2025-04-24,C,Cycle Inspection / Re-inspection,62.0
50067977,STARBUCKS #50611,2025-07-28,A,Cycle Inspection / Initial Inspection,10.0
50129289,ANTOJITOS D' JULIANGIE,2024-12-09,A,Pre-permit (Operational) / Re-inspection,9.0
41134612,SANTA MARIA BAR,2024-10-16,A,Cycle Inspection / Initial Inspection,12.0
41686442,SUBWAY,2025-08-21,A,Cycle Inspection / Initial Inspection,12.0
50103438,CAVA MEZZE GRILL,2024-05-01,A,Cycle Inspection / Re-inspection,13.0
50147744,Maxi's Noodle-2,2024-07-03,A,Pre-permit (Operational) / Initial Inspection,12.0
50116417,A-UN,2024-10-04,nan,Administrative Miscellaneous / Initial Inspection,
50116417,A-UN,2024-10-04,A,Cycle Inspection / Initial Inspection,10.0
50145810,BROOKLYN BREAD,2025-08-07,Z,Cycle Inspection / Re-inspection,62.0
50097403,SWEETGREEN,2024-11-01,A,Cycle Inspection / Initial Inspection,4.0
50155398,JUMIEKA GRAND,2025-04-24,B,Pre-permit (Operational) / Re-inspection,24.0
41626713,PERA SOHO,2024-04-04,A,Cycle Inspection / Re-inspection,10.0
50067950,MAMA G AFRICAN KITCHEN,2024-11-14,B,Cycle Inspection / Re-inspection,26.0
50154144,THE DOZZY COFFEE,2025-08-18,A,Cycle Inspection / Initial Inspection,11.0
41154370,HENRICA'S RESTAURANT,2024-11-26,B,Cycle Inspection / Re-inspection,21.0
50119231,DUNKIN,2024-11-12,A,Cycle Inspection / Re-inspection,13.0
50068674,IL MULINO,2023-03-10,A,Cycle Inspection / Initial Inspection,12.0
50065505,SAN AROY THAI KITCHEN,2025-02-10,Z,Cycle Inspection / Re-inspection,27.0
50120985,MIKE'S ROYAL DINER,2025-07-09,B,Cycle Inspection / Re-inspection,20.0
50042037,IKURA SUSHI,2025-05-28,A,Cycle Inspection / Initial Inspection,12.0
50139258,MISIPASTA,2024-09-30,A,Cycle Inspection / Initial Inspection,7.0
50039083,PATSY'S PIZZERIA,2024-06-20,nan,Administrative Miscellaneous / Initial Inspection,
50116948,MAD FOR CHICKEN,2025-05-07,B,Cycle Inspection / Re-inspection,23.0
50034285,BAR A VIN (LE DISTRICT),2025-02-12,A,Cycle Inspection / Re-inspection,12.0
50001546,SHALOM JAPAN,2024-03-27,A,Cycle Inspection / Initial Inspection,13.0
50063407,THAI CUISINE,2024-03-13,A,Cycle Inspection / Re-inspection,6.0
50087726,INCA CHICKEN,2024-10-05,A,Cycle Inspection / Initial Inspection,13.0
50150097,BIG JOHN'S PIZZA & RESTAURANT,2024-07-29,C,Pre-permit (Operational) / Re-inspection,77.0
50090358,SWEETLEAF COFFEE ROASTERS,2025-01-22,A,Cycle Inspection / Initial Inspection,11.0
50106561,TEMASKE,2024-08-14,C,Cycle Inspection / Re-inspection,31.0
50145465,MR MELO,2024-09-25,A,Pre-permit (Operational) / Initial Inspection,13.0
50018081,CHECKERS,2024-10-01,A,Cycle Inspection / Initial Inspection,13.0
50018219,JIN RAMEN UWS,2024-11-26,B,Cycle Inspection / Re-inspection,21.0
50111824,COOKED KLEAN,2025-01-28,A,Cycle Inspection / Re-inspection,12.0
50063694,ICE QUEEN,2024-10-29,A,Cycle Inspection / Initial Inspection,12.0
50142618,MOKA MATCHA,2025-08-15,Z,Cycle Inspection / Re-inspection,22.0
50140110,LIFE TIME,2024-05-08,A,Cycle Inspection / Initial Inspection,13.0
50140881,GRANDMA'S CHEESE BROOKLYN,2024-01-04,A,Pre-permit (Operational) / Re-inspection,13.0
50049637,DOMA,2025-07-07,Z,Cycle Inspection / Re-inspection,16.0
41154403,UNION HALL,2024-12-21,C,Cycle Inspection / Re-inspection,36.0
40923379,JOE'S RESTAURANT,2024-02-20,B,Cycle Inspection / Re-inspection,26.0
41551165,SUNRISE MART,2024-09-05,C,Cycle Inspection / Re-inspection,41.0
50147186,ROSCIOLI,2024-08-06,A,Pre-permit (Operational) / Initial Inspection,11.0
50065563,BERIKONI / GH RESTAURANT & BAR,2024-04-16,B,Cycle Inspection / Re-inspection,21.0
41685002,NEW PUNJAB RESTAURANT & GRILL,2024-11-12,B,Cycle Inspection / Re-inspection,22.0
50160167,DUNKIN',2025-02-24,A,Pre-permit (Operational) / Initial Inspection,4.0
41562672,"DUNKIN',' BASKIN ROBBINS",2025-08-13,A,Cycle Inspection / Initial Inspection,11.0
50104399,FESTIVAL,2024-08-28,B,Cycle Inspection / Re-inspection,17.0
50133247,FOCA CAFE,2025-04-02,A,Cycle Inspection / Initial Inspection,13.0
41529935,BAGELETTE,2025-01-10,A,Cycle Inspection / Re-inspection,12.0
41561516,OBAO,2024-11-12,C,Cycle Inspection / Re-inspection,60.0
40372631,YANKEE JZ PIZZA,2024-08-21,A,Cycle Inspection / Re-inspection,13.0
41721692,KENNEDY FRIED CHICKEN,2024-04-22,A,Cycle Inspection / Initial Inspection,9.0
41658466,FISH N TING RESTAURANT,2025-04-23,C,Cycle Inspection / Re-inspection,55.0
40378035,"DUNKIN', BASKIN ROBBINS",2025-07-22,Z,Cycle Inspection / Re-inspection,22.0
50144932,HAVEN UWS,2025-02-26,B,Pre-permit (Operational) / Re-inspection,26.0
50066620,BIGOI VENEZIA,2025-05-14,A,Cycle Inspection / Initial Inspection,12.0
41599169,ROMA PIZZA,2025-06-04,A,Cycle Inspection / Initial Inspection,13.0
50145873,MY VALLE,2025-03-11,A,Pre-permit (Operational) / Initial Inspection,12.0
50093945,L.Q. PALACE (KTV KARAOKE),2020-02-20,B,Pre-permit (Operational) / Re-inspection,22.0
50093945,L.Q. PALACE (KTV KARAOKE),2020-02-20,nan,Administrative Miscellaneous / Re-inspection,
50160982,HALAL BITEZ,2025-06-04,B,Pre-permit (Operational) / Re-inspection,22.0
50133484,RANGLA PUNJAB,2024-03-01,B,Pre-permit (Operational) / Re-inspection,22.0
50006225,EL MOLINA TEO RESTAURANT,2024-04-26,A,Cycle Inspection / Re-inspection,9.0
50074792,MABAT STEAKHOUSE,2024-06-06,A,Cycle Inspection / Initial Inspection,9.0
40983620,AURORA,2024-10-03,A,Cycle Inspection / Initial Inspection,9.0
41545062,MIZUMI,2024-02-27,A,Cycle Inspection / Re-inspection,12.0
50117339,PAPA JOHN'S,2024-07-03,A,Cycle Inspection / Initial Inspection,11.0
50145800,CILANTRO CLUB,2025-08-07,A,Cycle Inspection / Initial Inspection,12.0
50105766,LITTLE ITALY PIZZA,2024-06-20,A,Cycle Inspection / Initial Inspection,8.0
50110819,FUNNY FACE BAKERY,2024-07-10,A,Cycle Inspection / Initial Inspection,7.0
50113744,PAQ'S TAKE OUT,2024-03-05,A,Cycle Inspection / Re-inspection,9.0
50134570,PHO MAC,2023-06-27,A,Pre-permit (Operational) / Initial Inspection,12.0
50126720,OOODLES NOODLE HOUSE,2025-02-10,A,Cycle Inspection / Re-inspection,9.0
40559892,QUALITY MEATS,2024-07-08,A,Cycle Inspection / Initial Inspection,13.0
41194745,GOLDEN PALACE GOURMET,2025-04-30,Z,Cycle Inspection / Re-inspection,34.0
50130240,HALF MOON,2024-11-22,A,Cycle Inspection / Re-inspection,12.0
40752294,DALLAS BBQ,2024-10-22,A,Cycle Inspection / Initial Inspection,13.0
50067814,CARNAVAL SMOOTHIES AND JUICE BAR,2023-06-15,A,Cycle Inspection / Initial Inspection,7.0
50160466,D. SALAM AFRICAN CUISINE,2025-02-26,nan,Administrative Miscellaneous / Re-inspection,
50160466,D. SALAM AFRICAN CUISINE,2025-02-26,C,Pre-permit (Operational) / Re-inspection,48.0
50164695,DARJEELING KITCHEN & CAFE,2025-06-26,B,Pre-permit (Operational) / Re-inspection,27.0
50136276,ESSENCE BAR & GRILL,2024-03-28,A,Cycle Inspection / Initial Inspection,13.0
50136276,ESSENCE BAR & GRILL,2024-03-28,nan,Administrative Miscellaneous / Initial Inspection,
50146113,NANA'S GREEN TEA,2025-08-26,A,Cycle Inspection / Initial Inspection,10.0
50080871,TROPICAL SMOOTHIE CAFE,2024-04-19,A,Cycle Inspection / Initial Inspection,5.0
50083999,SHAKESPEARE & CO,2024-11-20,A,Cycle Inspection / Re-inspection,4.0
50018708,JUICE GENERATION,2025-05-29,A,Cycle Inspection / Initial Inspection,10.0
50135701,UTICA HALAL,2024-11-25,A,Cycle Inspection / Re-inspection,4.0
50001597,GRASS ROOTS JUICERY,2025-08-14,A,Cycle Inspection / Re-inspection,12.0
50161042,RADICI,2025-03-11,C,Pre-permit (Operational) / Re-inspection,43.0
50093943,CREME,2025-05-07,A,Cycle Inspection / Initial Inspection,7.0
50105170,LOCKE'S LOFT,2024-07-24,A,Cycle Inspection / Initial Inspection,13.0
50144377,HAAGEN DAAZ,2024-05-15,C,Pre-permit (Operational) / Re-inspection,66.0
50038898,NEW GREAT WALL CHINESE RESTAURANT,2025-05-05,A,Cycle Inspection / Re-inspection,10.0
50139058,MAMBO'S KITCHEN & GRILL,2023-09-15,A,Pre-permit (Operational) / Initial Inspection,12.0
41368488,PELHAM BAY AND SPLIT ROCK GOLF COURSE,2025-06-26,A,Cycle Inspection / Initial Inspection,12.0
50035053,BOB'S YOUR UNCLE,2024-05-29,A,Cycle Inspection / Initial Inspection,13.0
50059886,SABBA'S CHICKEN,2024-08-19,A,Cycle Inspection / Re-inspection,12.0
50108715,JUFU GARDEN,2025-02-10,Z,Cycle Inspection / Re-inspection,45.0
50055231,BOCADITO BISTRO,2024-05-01,B,Cycle Inspection / Re-inspection,26.0
50134015,TOZTON,2024-02-22,B,Pre-permit (Operational) / Re-inspection,25.0
40892893,MIRAGE DINER RESTAURAUNT,2024-09-03,A,Cycle Inspection / Re-inspection,13.0
41222453,DUNKIN,2025-01-02,A,Cycle Inspection / Re-inspection,12.0
50160275,MYGIRL,2025-07-21,Z,Pre-permit (Operational) / Re-inspection,28.0
50078153,FRESH TWIST,2024-06-13,A,Cycle Inspection / Initial Inspection,11.0
50135582,TASTY THAI,2025-02-07,B,Cycle Inspection / Re-inspection,27.0
50135931,BO's Bagels,2025-06-11,A,Cycle Inspection / Re-inspection,11.0
50134855,ZUI DE YI,2025-06-11,A,Cycle Inspection / Initial Inspection,12.0
40539007,MUSTANG HARRY'S,2024-12-23,B,Cycle Inspection / Re-inspection,19.0
50130447,SWEET DREAMS CAFE,2024-07-31,A,Cycle Inspection / Initial Inspection,12.0
50135324,B2J TASTY POT,2023-07-31,C,Pre-permit (Operational) / Re-inspection,37.0
50135324,B2J TASTY POT,2023-07-31,nan,Administrative Miscellaneous / Re-inspection,
50119749,LONDON TANDOORI,2024-08-26,C,Cycle Inspection / Re-inspection,39.0
50017430,COURTYARD BY MARRIOTT MANHATTAN CHELSEA,2024-10-16,A,Cycle Inspection / Initial Inspection,12.0
50119502,SHINJUKU RAMEN,2025-01-16,Z,Cycle Inspection / Re-inspection,30.0
50073866,PANDA EXPRESS #2769,2025-02-13,A,Cycle Inspection / Initial Inspection,9.0
50128657,KATSU KATSU,2023-06-02,C,Pre-permit (Operational) / Re-inspection,73.0
50043586,DUNKIN,2024-08-20,A,Cycle Inspection / Initial Inspection,11.0
50111168,18TH AVE CAFE G,2025-07-07,A,Cycle Inspection / Initial Inspection,11.0
50118100,ROYAL RIB,2024-05-23,B,Cycle Inspection / Re-inspection,18.0
50001948,BLOOM'S TAVERN,2025-08-11,A,Cycle Inspection / Re-inspection,7.0
50116369,TAQUERIA PANTITLAN,2024-05-09,C,Cycle Inspection / Re-inspection,154.0
50114459,LODI,2025-01-28,A,Cycle Inspection / Re-inspection,12.0
40852659,CHELSEA SQUARE DINER,2025-04-25,nan,Administrative Miscellaneous / Re-inspection,
40852659,CHELSEA SQUARE DINER,2025-04-25,B,Cycle Inspection / Re-inspection,22.0
41263898,DUNKIN,2025-07-09,A,Cycle Inspection / Initial Inspection,4.0
50059930,HONG KONG RESTAURANT,2025-02-06,B,Cycle Inspection / Re-inspection,27.0
50170320,SHAKE SHACK #1646,2025-08-20,A,Pre-permit (Operational) / Initial Inspection,9.0
50083955,CHEONG HEI RESTAURANT,2023-03-22,nan,Smoke-Free Air Act / Initial Inspection,
50083955,CHEONG HEI RESTAURANT,2023-03-22,B,Cycle Inspection / Re-inspection,18.0
50059778,EMMY SQUARED,2025-01-29,C,Cycle Inspection / Re-inspection,39.0
50120277,FIESTA MEXICAN RESTAURANT,2024-10-09,A,Cycle Inspection / Initial Inspection,12.0
50097395,ARTICHOKE BASILLE'S PIZZA,2024-05-13,A,Cycle Inspection / Initial Inspection,7.0
50043143,IHOP,2025-03-31,A,Cycle Inspection / Initial Inspection,11.0
41577301,COPPELIA CUBAN LUNCHEONETTE,2025-04-08,A,Cycle Inspection / Initial Inspection,12.0
50037777,MEL'S BURGER,2024-11-21,A,Cycle Inspection / Re-inspection,13.0
50060048,CAFE BELLE,2024-07-31,A,Cycle Inspection / Initial Inspection,10.0
50108152,CITRICO,2024-06-13,A,Cycle Inspection / Initial Inspection,12.0
41559805,DUNKIN',2024-10-01,A,Cycle Inspection / Initial Inspection,0.0
50104824,CAFE THE TERRACE,2025-07-15,A,Cycle Inspection / Re-inspection,13.0
50116555,CHOCOLATE DIP,2024-01-02,A,Cycle Inspection / Initial Inspection,7.0
50158804,HARLEM HALAL FOOD COURT,2025-03-18,B,Pre-permit (Operational) / Re-inspection,26.0
50091241,HD HALAL DINER,2024-12-05,A,Cycle Inspection / Initial Inspection,10.0
50006795,DUNKIN,2025-02-21,A,Cycle Inspection / Initial Inspection,7.0
41571471,LITTLE CAESARS,2024-08-20,A,Cycle Inspection / Re-inspection,13.0
41097973,CAFE RIVIERA,2024-08-01,C,Cycle Inspection / Re-inspection,43.0
50169796,BAR OLIVER,2025-06-27,A,Pre-permit (Operational) / Initial Inspection,13.0
40538189,EDWARD'S,2024-12-11,A,Cycle Inspection / Initial Inspection,13.0
50115198,SO GONG DONG KOREAN BBQ,2024-04-23,B,Cycle Inspection / Re-inspection,19.0
